scenario,can_claim
"Alex uses their home internet 30% for work, connecting to their office's virtual desktop. They have all bills and a 4-week diary of work use. They are using the actual cost method.",Yes
Ben exclusively uses their home phone for personal calls to family and friends.,No
"Chloe purchases a new router for $250, used 70% for work. She has the receipt and a record of work-related use. She is using the actual cost method.",Yes
David's employer directly pays for his home internet connection.,No
Emily is seeking new employment and uses her home internet to search for jobs and send applications.,No
"Frank has a bundled plan including home internet, phone, and a streaming service. He uses the internet 40% for work, the phone 15% for work, and the streaming service 0% for work. He has itemised bills and a 4-week log for each. He is using the actual cost method.",Yes
"Grace claims the fixed rate method for working from home expenses, and also wants to claim a separate deduction for her home internet usage.",No
"Harry incurred a $50 connection fee for his new home internet service, which he uses for work.",No
"Ivy makes work-related calls from her home phone, which charges per call. She keeps a detailed log of all work calls. She is using the actual cost method.",Yes
Jack uses his home internet to stream movies for private entertainment.,No
Kelly uses her home internet 60% for work and 40% for private use. She doesn't have any written evidence of her expenses.,No
Liam's internet plan allows for unlimited data. He tracks the time spent using the internet for work and estimates it's 25% of his total internet usage. He is using the actual cost method.,Yes
Mia's internet usage results in her exceeding her monthly data allowance due to large work file downloads. She wants to claim the additional costs incurred. She is using the actual cost method.,Yes
Noah watches pay television services through his home internet. He is a television critic and this is directly related to his work. He has records showing the portion of content directly related to his work. He is using the actual cost method.,Yes
Olivia has a home phone with a monthly amount that covers all calls. She uses it 20% for work and has a 4-week record of her work calls. She is using the actual cost method.,Yes
Peter was reimbursed by his employer for all his home internet expenses.,No
"Quinn bought an internet router for $350, used 90% for work. He has the receipt. He is using the actual cost method and plans to claim depreciation.",Yes
Rachel uses her home internet for work purposes but has no way to separate her work use from her private use or her family's use. She is using the actual cost method.,No
"Sam's internet plan includes a ""free"" streaming service. He doesn't use the streaming service for work and wants to claim the full internet bill. He is using the actual cost method.",Yes
"Tina makes a few work phone calls from her home phone (incidental use) and wants to claim $0.25 per call, totaling less than $50 for the year. She has basic records. She is using the actual cost method.",Yes
"Ursula's internet connection was installed last year, and she wants to claim the original installation fee this year.",No
"Victor uses his home internet for work tasks after hours, but his main job site provides all necessary internet access during business hours. He is using the actual cost method.",Yes
"Wendy's home phone is used by her entire family, and she can't distinguish her work-related calls from personal ones. She is using the actual cost method.",No
Xavier occasionally works from home and uses his internet for personal emails and social media during work hours. He is using the actual cost method.,No
"Yvonne's employer gave her a mobile phone with unlimited data for work use, and she also uses it as her home internet hotspot.",No
Zara's home phone bill does not differentiate between local and long-distance calls. She made several work-related long-distance calls. She is using the actual cost method.,Yes
Adam has a home internet plan and his spouse also works from home using the same internet. They have not apportioned their usage. He is using the actual cost method.,No
Bella claims for home internet and phone using the fixed rate method. She also wants to claim the depreciation on her new work router separately.,Yes
Caleb uses his home phone for work purposes and pays a monthly amount that covers calls. He has kept a 4-week diary of his work calls. He is using the actual cost method.,Yes
Diana received an itemised internet bill showing 15% work-related data downloads. She has records for the entire year. She is using the actual cost method.,Yes
"Ethan's internet service provider offers a breakdown of bundled services, and he uses this to determine the cost of his internet for work calculations. He is using the actual cost method.",Yes
"Fiona uses her home internet for work but does not keep any records, relying on an estimate. She is using the actual cost method.",No
George's job requires him to review various streaming services. He has records showing the specific content he reviews for work. He is using the actual cost method.,Yes
Hannah's home internet went over its monthly limit due to her children's online gaming. She wants to claim the extra charges.,No
Ian bought a second-hand modem for $50 and uses it solely for work. He has a receipt. He is using the actual cost method.,Yes
"Jessica's employer provides her with a dedicated work mobile and internet dongle, so she doesn't use her home services for work.",No
